Index Annotation Celltype Tissue Type Category Path
12 HMEC.stretchEnhancer HMEC HMEC stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/HMEC.stretchEnhancer.bed
13 hASC-t1.stretchEnhancer hASC-t1 hASC-t1 stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/hASC-t1.stretchEnhancer.bed
14 ColonicMucosa.stretchEnhancer ColonicMucosa ColonicMucosa stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/ColonicMucosa.stretchEnhancer.bed
15 NHLF.stretchEnhancer NHLF NHLF stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/NHLF.stretchEnhancer.bed
16 GM12878.stretchEnhancer GM12878 GM12878 stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/GM12878.stretchEnhancer.bed
17 ES-HUES6.stretchEnhancer ES-HUES6 ES-HUES6 stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/ES-HUES6.stretchEnhancer.bed
18 Huvec.stretchEnhancer Huvec Huvec stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/Huvec.stretchEnhancer.bed
19 AnteriorCaudate.stretchEnhancer AnteriorCaudate AnteriorCaudate stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/AnteriorCaudate.stretchEnhancer.bed
20 NHEK.stretchEnhancer NHEK NHEK stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/NHEK.stretchEnhancer.bed
21 hASC-t3.stretchEnhancer hASC-t3 hASC-t3 stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/hASC-t3.stretchEnhancer.bed
22 StomachSmoothMuscle.stretchEnhancer StomachSmoothMuscle StomachSmoothMuscle stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/StomachSmoothMuscle.stretchEnhancer.bed
23 H1.stretchEnhancer H1 H1 stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/H1.stretchEnhancer.bed
24 Adipose.stretchEnhancer Adipose Adipose stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/Adipose.stretchEnhancer.bed
25 HSMM.stretchEnhancer HSMM HSMM stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/HSMM.stretchEnhancer.bed
26 hASC-t4.stretchEnhancer hASC-t4 hASC-t4 stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/hASC-t4.stretchEnhancer.bed
27 K562.stretchEnhancer K562 K562 stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/K562.stretchEnhancer.bed
28 Liver.stretchEnhancer Liver Liver stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/Liver.stretchEnhancer.bed
29 CD34-PB.stretchEnhancer CD34-PB CD34-PB stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/CD34-PB.stretchEnhancer.bed
30 ES-HUES64.stretchEnhancer ES-HUES64 ES-HUES64 stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/ES-HUES64.stretchEnhancer.bed
31 SkeletalMuscle.stretchEnhancer SkeletalMuscle SkeletalMuscle stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/SkeletalMuscle.stretchEnhancer.bed
32 HepG2.stretchEnhancer HepG2 HepG2 stretchEnhancer stretchEnhancer /lab/work/arushiv/newhuman_datasets_by_13chromatinStates/HepG2.stretchEnhancer.bed
33 Repressed_Hoffman Static Static Repressed_Hoffman Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/Repressed_Hoffman.bed
34 Promoter_UCSC Static Static Promoter_UCSC Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/Promoter_UCSC.bed
35 H3K4me1_Trynka Static Static H3K4me1_Trynka Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/H3K4me1_Trynka.bed
36 PromoterFlanking_Hoffman Static Static PromoterFlanking_Hoffman Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/PromoterFlanking_Hoffman.bed
37 TSS_Hoffman Static Static TSS_Hoffman Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/TSS_Hoffman.bed
38 SuperEnhancer_Hnisz Static Static SuperEnhancer_Hnisz Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/SuperEnhancer_Hnisz.bed
39 Transcribed_Hoffman Static Static Transcribed_Hoffman Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/Transcribed_Hoffman.bed
40 H3K4me1_peaks_Trynka Static Static H3K4me1_peaks_Trynka Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/H3K4me1_peaks_Trynka.bed
41 H3K9ac_peaks_Trynka Static Static H3K9ac_peaks_Trynka Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/H3K9ac_peaks_Trynka.bed
42 TFBS_ENCODE Static Static TFBS_ENCODE Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/TFBS_ENCODE.bed
43 DHS_peaks_Trynka Static Static DHS_peaks_Trynka Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/DHS_peaks_Trynka.bed
44 DGF_ENCODE Static Static DGF_ENCODE Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/DGF_ENCODE.bed
45 H3K4me3_Trynka Static Static H3K4me3_Trynka Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/H3K4me3_Trynka.bed
46 H3K4me3_peaks_Trynka Static Static H3K4me3_peaks_Trynka Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/H3K4me3_peaks_Trynka.bed
47 Enhancer_Andersson Static Static Enhancer_Andersson Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/Enhancer_Andersson.bed
48 H3K9ac_Trynka Static Static H3K9ac_Trynka Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/H3K9ac_Trynka.bed
49 WeakEnhancer_Hoffman Static Static WeakEnhancer_Hoffman Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/WeakEnhancer_Hoffman.bed
50 H3K27ac_PGC2 Static Static H3K27ac_PGC2 Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/H3K27ac_PGC2.bed
51 H3K27ac_Hnisz Static Static H3K27ac_Hnisz Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/H3K27ac_Hnisz.bed
52 UTR_3_UCSC Static Static UTR_3_UCSC Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/UTR_3_UCSC.bed
53 DHS_Trynka Static Static DHS_Trynka Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/DHS_Trynka.bed
54 CTCF_Hoffman Static Static CTCF_Hoffman Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/CTCF_Hoffman.bed
55 Conserved_LindbladToh Static Static Conserved_LindbladToh Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/Conserved_LindbladToh.bed
56 Intron_UCSC Static Static Intron_UCSC Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/Intron_UCSC.bed
57 Enhancer_Hoffman Static Static Enhancer_Hoffman Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/Enhancer_Hoffman.bed
58 Coding_UCSC Static Static Coding_UCSC Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/Coding_UCSC.bed
59 UTR_5_UCSC Static Static UTR_5_UCSC Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/UTR_5_UCSC.bed
60 FetalDHS_Trynka Static Static FetalDHS_Trynka Static /lab/data/genomes/human/hg19/baseline_staticAnnotations_bedfiles/FetalDHS_Trynka.bed
